title,content
 《通網股》VR新品加持！宏達電漲停、創,"原文標題：  《通網股》VR新品加持！宏達電漲停、創今年初以來新高  原文連結：  https://www.chinatimes.com/realtimenews/20241001003063-260410?chdtv  發布時間：  2024/10/01  記者署名：  王逸芯  原文內容：  宏達電(2498)新款VIVE Focus Vision將於本月正式開賣，其在售價上比前代產品VIVE XR Elite低100美元，更增加了其在與蘋果的Vision Pro等產品競爭的利基。宏達電今日 11:30後挾量攻上漲停鎖住，站上52元，股價創下今年1月以來新高，截至午盤，宏達電成 交量超過5.3萬張，明顯超越昨日全天交易量22038張。  宏達電日前宣布了其新款VIVE Focus Vision混合獨立PCVR頭戴顯示器，該產品將於本月 上市。這款裝置支援無線使用，並可透過DisplayPort模式連接PC，提供更高的圖像質量 和響應速度。VIVE Focus Vision搭載高解析度顯示、眼動與手部追蹤技術，定價999美元 ，主要就是企圖與蘋果的Vision Pro等產品競爭，進一步鞏固宏達電在VR市場的地位。  先前美系外資就表示，VIVE Focus Vision的硬體規格基本符合預期，但其定價比前代產 品VIVE XR Elite的1,099美元低100美元，這可能對消費者具有吸引力。宏達電的XR頭戴 顯示器在2024年上半年占全球XR頭戴顯示器市場約2%的份額。其應用領域正在擴展到工業 、商業和在職培訓，這有助於增加最終用戶的曝光率，但預估提升出貨規模可能需要一些 時間。此外，預計在今年下半年，隨著新智能手機和XR頭戴顯示器的需求增長，宏達電的 營收將可望回溫。  VIVE Focus Vision結合了強大的獨立運行能力，並支援DisplayPort模式，完整的保留無 失真且精緻的PC VR視覺體驗。此外，VIVE Focus Vision內建眼球追蹤技術與立體全彩高 解析透視鏡頭，可實現精準的混合實境深度感知，並配備紅外線感應器，進一步優化了低 光環境下的手部追蹤效果，將XR一體機的體驗提升至新高度。  研調報告就指出，全球XR市場在2024年至2028年間預計將大幅增長，市場規模預計將增加 1.04兆美元，並以56.45%的年複合增長率（CAGR）成長。該增長主要受到傳感技術的快速 進步、5G技術的應用、以及XR在軍事、教育、醫療保健和娛樂等領域的廣泛應用所推動。  心得/評論：  噴爆！  存股宏達電，跟上元宇宙  蘋果、META都在弄的VR  有可能沒未來嗎? 不可能的吧！  誰說什麼鼠輩老輸才會買宏達電?  https://i.imgur.com/vfm89Ek.png  今天馬上漲停給你看！  存股宏達電就是一直噴！  -- "
 台灣九月PMI落至49.2 跌4.4個百分點,原文標題：景氣現反轉？ 台灣九月PMI落至49.2 跌4.4個百分點   原文連結：https://reurl.cc/OrL1ay   發布時間：2024年10月1日 週二 下午6:22   記者署名：黃偉柏   原文內容：[Newtalk新聞] 中經院今（10/1）日公布九月台灣採購經理人指數（PMI），顯示大跌 4.4個百分點、來到 49.2%，中斷連續 4個月的擴張局勢，轉為緊縮。  中經院表示，隨著九月中旬石油輸出國組織（OPEC）看淡與下修國際原油需求、AI高基期 效應下短期拉貨力道趨緩，及市場保守看待蘋果 iPhone 16全球銷售下，九月製造業PMI 新增訂單、生產與未來 6個月展望指數同步轉為緊縮。經季節調整後的「新增訂單」與「 生產指數」同步中斷連續 5個月的擴張，轉為緊縮，二項指數分別回跌 8.2與 10.6個百 分點，至 48.5%與 46.8%。  即將步入第四季旺季，新增訂單轉為緊縮，未完成訂單指數亦回跌 5.9個百分點至今年三 月以來最快緊縮速度（43.5%），顯示缺乏動能使製造業的產能稼動率無法持續攀升。  從產業別來看，由於美國、中國與歐洲的PMI持續緊縮、九月中旬OPEC看淡與下修國際需 求、觀望匯率政策、AI高基期效應下短期拉貨力道趨緩，以及市場保守看待iPhone 16全 球銷售，電子暨光學產業與化學暨生技醫療產業之訂單、生產與未來六個月展望多重挫超 過10.0個百分點轉為緊縮。  終端車廠期待降息循環將讓車市回溫、資金借貸成本下降、及日圓急升，儘管交通工具產 業與電力暨機械產業之新增訂單與生產仍未大幅攀升，但廠商陸續對未來展望轉為持平或 擴張。交通工具產業之未來展望指數八月大跌 11.2個百分點轉為緊縮後，九月指數翻揚 8.5個百分點，呈現擴張，指數為 52.9%。電力暨機械設備產業之未來 6個月展望八月一 度中斷連續 5個月擴張，轉為緊縮，但九月指數隨即回升 2.6個百分點至 51.4%，再度呈 現擴張。  綜上所述，製造業之未來六個月展望指數中斷連續 7個月的擴張轉為緊縮，指數續跌 5.3 個百分點至 47.5%。不過，調查尾聲時，中國政府宣布 17項政策利多，且政策寬鬆幅度 超出預期，密切觀察能否刺激終端需求Q4以後訂單表現。  另外，台灣非製造業 NMI 指數續跌 1.2個百分點至 53.3%，為今年三月以來最慢擴張速 度，主因商業活動擴張趨緩。未來展望指數亦續跌 1.5個百分點，至去年11月以來最慢擴 張速度（53.1%）。    心得/評論：步入九月，台灣PMI大幅下滑，未完成訂單下降幅度最大，僅剩43.5%  新增訂單也從8月的56.70大幅下滑至48.5，同時客戶存貨上升，出乎意料之外了， 為什麼PMI會突然大幅下滑呢?　訂單和存貨都往惡化方向走...   -- 
 產能過剩陷虧損 中國太陽能業達成反內捲,原文標題：產能過剩陷虧損 中國太陽能業達成反內捲共識  原文連結：https://www.cna.com.tw/news/acn/202410150330.aspx  發布時間：2024/10/15 19:25  記者署名：中央社台北15日電 編輯：楊昇儒/廖文綺  原文內容：  中國太陽能業今年因為產能過剩陷入集體虧損，中國光伏行業協會昨天邀集業者召開座談會 ，會後宣布達成「防止內捲式惡性競爭」、暢通落後低效產能退出管道等共識。不過，中國 太陽能業會否因此停止價格戰並減產，仍有待觀察。  中國光伏行業協會昨晚發文表示，近段時間以來，太陽能產品市場價格持續下滑，「整個行 業陷入了非理性競爭的惡性循環中」。為落實2024年7月30日中共中央政治局會議精神，防 止「內捲式」惡性競爭，維護太陽能市場公平競爭秩序，引導行業健康可持續發展，中國光 伏行業協會於14日在上海舉行防止行業「內捲式」惡性競爭專題座談會。  中國光伏行業協會稱，企業家及代表就強化行業自律，防止「內捲式」惡性競爭，強化市場 優勝劣汰機制，暢通落後低效產能退出管道及行業健康可持續發展進行了充分溝通交流，並 「達成共識」。  綜合券商中國、證券時報等陸媒報導，中國光伏行業協會昨天上午召開座談會，會議通知顯 示，主題是「有序化解供需失衡，出清過剩產能」，並指太陽能產品價格持續走低，當前主 流產品價格已明顯低於生產成本，行業已陷入低於成本價競爭的惡性局面。  消息傳出後，中國大陸A股的太陽能概念股集體上漲，出現難得榮景。  受到供需失衡影響，中國太陽能產業鏈價格出現大幅下跌。根據中國光伏行業協會資料，20 23年全中國太陽行業總產值（不包括逆變器）超過人民幣1.75兆元（約新台幣7.9兆元）。 今年上半年，多晶矽材、矽片價格跌幅超過40%，電池片、元件價格下跌逾15%。  報導指出，今年第3季，中國太陽能全產業鏈持續降價，矽材已跌破成本線，處於「跌無可 跌」的境地。其中，單晶N型矽片價格已腰斬，成為今年跌幅最大的產品。不少太陽能上市 公司業績下滑，由盈轉虧。  通威集團董事局主席劉漢元近日公開表示，「由於內捲程度的加劇，每一個環節基本上都虧 損，所以銷得越多，虧得越多，產業鏈越長也虧得越多，就成了今天的現象和事實」。  雖然中國光伏行業協會聲稱已達成「反內捲」共識，不過太陽能業會否因此停止價格戰並減 產，仍有待觀察。在此之前，中國光伏行業協會及相關部門已多次組織座談會呼籲「反內捲 」和行業理性競爭，但產能過剩未見改善。  一家太陽能一線廠商的相關負責人表示，建議上市公司特別是頭部上市公司能夠以公告的形 式宣布減產，發布下調或限制產能的具體訊息，「頭部企業要帶頭自律，不能說說就過去了 」。  報導引述國金證券研究所所長蘇晨表示，普遍虧損的情況不會是中國太陽能業的常態，不具 備成本優勢、技術優勢的部分二三線企業將面臨淘汰壓力，本輪週期後，行業集中度將再提 升。  心得/評論：  中國把全世界捲死的產業之一，捲到前陣子政府的指示是不要再捲了XD  繼車市之後太陽能產業也跟著表態，表態歸表態，不知道身體乖不乖@v@  想想蘋果也還真的很厲害，中國的手機廠尤其在拍攝方面也是捲到靠北  但仍能靠著建立起來的品牌價值一路扛到現在  
 清華大學用一顆光子造出全世界最小量子電,原文標題：清華大學用一顆光子造出全世界最小量子電腦  原文連結：https://reurl.cc/0d8A4K  發布時間：2024/10/16 12:39:29  記者署名：李珣瑛  原文內容： 清華大學物理系、前瞻量子科技研究中心教授褚志崧領導的研究團隊16日宣布，成功研發 出全世界最小的量子電腦—僅僅使用一顆光子，就可以在室溫下進行運算，這也是台灣研 發出的第一套光學量子電腦。未來可以與矽光子技術結合，成為台灣主導電子電腦發展的 契機。鴻海研究院量子計算研究所所長謝明修、台積電余振華院士研究團隊成員吳宇彤博 士也出席關注。   褚志崧團隊今天在記者會現場展示，以在一條環狀光纖內跑動、只有一顆光子的光量子電 腦來完成質因數分解等複雜的數學運算，如15=5x3。這是全世界首次以一顆高維度、也就 是多次元的光子來實現量子演算法。   褚志崧團隊已將這項領先全球的突破發表在上個月的《物理評論》期刊（Physical Review Applied）。   清華大學校長高為元表示，褚志崧團隊今天的發表絕對是量子電腦的一大里程碑。他去年 才參觀過美國最先進的量子電腦實驗室，印象最深刻就是龐大的冷卻系統，將溫度控制在 攝氏零下273度，設備也占去一個大房間；清華團隊今天發表的光量子電腦卻可在室溫下 操作，且設備只有一個盒子大，「真希望未來我們每個人桌上都有一台光量子電腦！」   褚志崧指出，光子（Photon）是傳遞電磁作用的基本粒子，為了讓一顆光子攜帶更多的資 訊，團隊成功研發出可在一個光子的32維空間裡儲存資訊的技術，宛如「多重宇宙」。眾 所周知，1維是一條線；2維以長、寬成一平面；3維則是長、寬、高的立體。而褚志崧打 造出的這顆光子，則有32維空間來儲存資訊，也就是32次元，打破了世界紀錄。   褚志崧比喻，有32維儲存空間的光子，就像是把一台只能載一個人的腳踏車，改造成一台 連結32節列車的火車，就能載運更多的乘客。   褚志崧指出，國外發展的光量子電腦最多可達到數百顆光子，但光子為機率性出現，「這 秒還有，下一秒就消失了，」很難控制讓多顆光子同時出現。因此，褚志崧改變思路，「 何不專注在把所有資訊都壓縮在一顆光子上？」團隊接下來的目標是持續挑戰並提升單一 光子的資訊儲存容量，讓一顆光子能夠容納更多的資訊，實現更複雜的量子運算。   一般電腦用電在電路板上傳輸來進行運算；光量子電腦則是用光來傳輸資料，並透過量子 力學來進行運算。褚志崧解釋，不同於傳統電腦的位元（bit）只能代表0或1，量子電腦 的量子位元（qubit）可以同時處於0和1，這種特性稱為「量子疊加」，使量子電腦在處 理質因數分解、大數據搜尋等複雜運算時，速度可比傳統電腦快數億倍。   量子電腦的發展深受期待，但也面臨兩大挑戰，首先是電子及離子的量子電腦必須在極低 溫下運作，耗能且成本高昂；其次是量子態很容易受到振動或電磁場的干擾，導致資訊遺 失、計算錯誤。但褚志崧研究團隊僅用一顆光子造出的光量子電腦，則克服了這兩大困境 。   褚志崧指出，光子可在室溫下保持穩定的量子態，不需要極低溫環境，耗能少，成本也較 低。此外，光子可以長距離傳輸，不易受干擾，對將量子電腦投入商業化應用具有獨特的 優勢。   清華大學理學院院長牟中瑜指出，褚志崧的研究成果為建構量子電腦找到了一套新的途徑 ——單光子的量子電腦。有別於目前國際間所追求的建構主流，它的優點是可結合同樣採 用光來傳輸的量子通訊，形成量子網路，並且可以在室溫下進行，這是很大的突破，特別 是此技術可以與目前的矽光子技術結合、與古典電腦整合在一起，有很大的潛力讓台灣能 延續在半導體技術的優勢，是台灣主導量子電腦發展的契機。   牟中瑜特別提到，這套光量子電腦是清華大學前瞻量子科技研究中心自主研發的成果，展 現清華在量子科技的創新能力與技術實力。光量子電腦技術未來的應用範圍將十分廣泛， 包括加速新藥研發、優化物流、並可與量子通訊結合以改善資安等；以其大幅超越目前超 級電腦的計算效率，可進一步推進AI等未來產業的發展。   鴻海研究院量子計算研究所所長謝明修也應邀參加發表會，他讚譽清華大學各領域的人才 都有，最適合投入量子電腦的研發。他也認為，台灣應更積極投入並大力投資量子電腦及 量子通訊領域。   台積電余振華院士研究團隊成員吳宇彤說，清華今天發表的光量子電腦真的創造了歷史， 這是前人沒有做過的。他認為，光子是非常好的載體，也可望真正實現量子電腦小型化的 目標。   清華大學也加入了量子國家隊，去年5月宣布成功研發出台灣第一個量子加密通訊網路， 可永久加密而不被破解，大幅提升網路通訊的安全性至國安等級。    心得/評論：  昨晚在科技版看到的文章，內容提到可與CPO結合。 CPO近期一直是處於主力控盤的情況下，近期漲幅過大且洗盤情況嚴重。 請各位投資人謹慎，拉回我先買(誤   -- 
 大立光第三季EPS49.67元 林恩平：估11月,原文標題：大立光第三季EPS49.67元 林恩平：估11月出貨明顯下滑  原文連結：https://reurl.cc/A2m7AZ  發布時間：2024年10月17日 週四 下午2:58  記者署名：王詩婷｜Yahoo財經特派記者  原文內容：  大立光（3008）今（17）日召開線上法說會，第3季稅後純益66.29億元，季增47%，為八 季以來最佳，EPS達49.67元。大立光董事長林恩平表示，9月和10月出貨量差不多，但11 月會有明顯下滑。   大立光第3季合併營收189.49億元，為單季新高，季增73%，年增39%，稅後純益66.29億元 ，季增47%，為八季來最佳。   今年前九月合併營收412.48億元，稅後純益172.39億元，年增33%，EPS達129.16元。   出貨動能方面，林恩平表示，9月和10月差不多，預估11月會有明顯下滑；展望手機市場 後市，他認為，第四季需求與第三季相比差很多，因此保守看待第四季。   另外，林恩平也表示，目前已逐漸展開2025年出貨的產品，大立光台中廠量能已滿載，新 廠產能已經用完，較大的廠明年9月會完成。     心得/評論：   大立光與台積法說同一天 公佈獲利  Q3毛利率重返50% 獲利8季以來最佳  但直接說明 11月出貨明顯下滑  董事長依舊是如此誠實  -- 
 是否有興趣購買英特爾晶圓廠?魏哲家：一點,原文標題：  是否有興趣購買英特爾晶圓廠?魏哲家：一點也不想  原文連結：  https://ec.ltn.com.tw/article/breakingnews/4833944  發布時間：  2024/10/17 17:53  記者署名：  記者洪友芳  原文內容：  〔記者洪友芳／新竹報導〕晶圓代工龍頭廠台積電今（17）日召開線上法說會，對於英特 爾計畫將產品與代工部門分拆，外資關切台積電是否有興趣收購英特爾晶圓廠，台積電董 事長暨總裁魏哲家斬釘截鐵表示，「不會，一點也不想（No，Not at all）」。  分析師關切，英特爾將分拆產品與代工部門，長遠是否會影響台積電外包訂單，或是台積 電是否有興趣收購英特爾晶圓廠？魏哲家斬釘截鐵回應：「不會！一點也不想（No，Not at all）」。  他指出，英特爾仍持續進行外包策略，仍是一家IDM廠（整合元件製造廠），也是台積電 很好的客戶，台積電將繼續為英特爾提供代工服務。  心得/評論：  哪個記者問的 笑死  誰要買啊 自找麻煩嗎?  台積寧願把錢拿去買世界先進  也不要買在美國的英特爾廠好不好  除非美國爸爸逼GG啦  -- 
 台積電:在台廠區電費價格 已是全球廠區最高,原文標題：台積電：在台廠區電費價格 已是全球廠區最高  原文連結：https://money.udn.com/money/story/5612/8298771  發布時間：2024-10-17  記者署名：鍾榮峰  原文內容：  台積電今天表示，過去幾年，台積電在台灣使用電費價格已倍增，現在台灣廠區使用的電 費價格，已是全球所有營運廠區最高，明年毛利率觀察電費、匯率、海外廠區、先進製程 整合及導入等因素。  晶圓代工龍頭台積電下午舉行法人說明會，法人提問2025年毛利率影響變數，台積電財務 長黃仁昭表示，2025年台積電可持續成長，產能利用率維持高檔正向，不過海外廠區產能 爬升，可能稀釋毛利率約2至3個百分點。  此外，台積電轉進部分5奈米產能至3奈米，以因應3奈米產能強勁需求，以及2026年導入2 奈米製程增加成本等，也是影響毛利率的因素。  黃仁昭指出，台灣電價上漲，也是影響台積電毛利率的重要因素之一，他表示，今年10月 新一波電價調整，台積電使用電費漲幅14%，2022年電價漲15%，2023年漲17%，今年上半 年漲幅25%。  黃仁昭指出，過去幾年，台積電在台灣使用電費價格已倍增，現在台積電在台灣廠區使用 的電費價格，已是全球所有營運廠區最高。他預期，電費上漲加上其他費用支出因素，預 期影響明年毛利率表現至少1%。  黃仁昭也表示，明年毛利率表現也要觀察匯率變數，台積電無法掌控預估匯率因素。產業 人士評估，新台幣兌美元匯率變動1%，對台積電毛利率影響程度約0.4個百分點。  法人提問是否擔心反托拉斯（Anti Trust）議題，台積電董事長魏哲家指出，台積電不只 晶圓製造，還有先進封裝、測試、光罩生產以及其他項目，其他半導體整合元件製造廠（ IDM）也有布局封測、光罩等項目。  台積電說明，先進封裝、測試、光罩生產以及其他項目營收占整體營收比重約10%。若包 括先進封裝測試、光罩生產以及其他項目，台積電在半導體晶圓產業市占率約30%，並沒 有獨占，不會有反托拉斯的問題。   心得/評論：   台積電今天法說提到 電費漲價會影響1%的毛利率 也提到台灣的電價已是全球最高 但怎摸跟我聽到說台灣的電世界便宜不一樣 到底是誰的訊息是錯的？  -- 
 艾笛森開發車用元件新市場，2025營運看,原文標題：艾笛森開發車用元件新市場，2025營運看好   原文連結：https://reurl.cc/2jGLom   發布時間：2024/10/16 09:59   記者署名：李宜秦   原文內容：LED廠商艾笛森(3591)今年9月營收2.32億元，年增27.61%，第三季累計營收6.75 億元，年增26.85%，為2018年第二季以來新高，前9月累計營收18.83億元，年增29.05%。法 人表示，由於市場需求較強，第四季仍持審慎樂觀態度，公司正持續發展車用元件非中國以 外的市場，預期明年效益有望發酵，營運將可維持成長態勢。  艾笛森今年不像去年受到罷工等不可控因素影響，車用及照明產品均穩定出貨，預期第三季 毛利率表現大致持平第二季。第三季車用產品稼動率85-90%、照明產品70-80%，第四季將維 持此水準。法人表示，年末聖誕節廠商將提前備貨，整體市場需求較佳，仍看好艾笛森第四 季營運表現。  艾笛森今年重點發展項目為車用元件，市場以中國為主，由於中國車用廠商有價格競爭壓力 ，因此不會執著於使用大廠元件，對公司而言是利多，明年將擴大對車用元件的投資，還會 開發如印度以外的其他市場，目前車用元件的毛利率約10-15%，目標明年達到20%，預期新 市場的效益可逐漸發酵，明年營運動能仍可維持，將保持成長態勢。    心得/評論：業績是大幅成長沒錯，自從漲停後連續好幾天都收綠k，還爆大量，這新聞難道 是出貨嗎？回文沒表哥電燈泡冠希我自☺～  -- 
 少年股神再翻車？證交所：光聖爆鉅額違,"原文標題：少年股神再翻車？證交所：光聖爆鉅額違約交割、金額4627.4萬元 原文連結：https://www.nownews.com/news/6555529 發布時間：2024-10-17 11:08:42 記者署名：陳郁柔 原文內容：   台北股市近期波動劇烈，不少個股股價大起大落，臺灣證券交易所昨（16）日公告，華南 永昌證券大安分公司以及元富證券敦南分公司申報光聖股票4627萬4000元鉅額違約交割。  根據證交所資料，昨日證券商申報投資人違約金額，集中市場買進、賣出合計總金額8386 萬7900元，買進、賣出相抵後違約交割金265萬4500元。  根據違約資訊揭露標準：「同一標的證券之當沖交易違約互抵淨額加計非當沖交易違約買 賣總額合計達新台幣2,500萬元」，必須個股達違約資訊，昨日揭露的個股為光聖，華南 大安分公司、元富敦南分公司合計申報4627萬4000元。  根據台股現行的T+2制度，券商16日申報的光聖違約割為14日的交易，當天光聖股價亮燈 漲停，收在464.5圓，市場認為有可能是空頭慘軋的緣故。  證交所指出，這次光聖違約交割的通報券商為華南大安與元富敦南。由於今年以來投資人 對上市公司違約交割標的包括士電、台積電、聯發科、材料-KY、國巨等多檔個股，其中 台積電在6月、7月各有1次違約交割紀錄，光聖這次違約交割為第7起，證交所呼籲投資人 理性投資、留意違約交割帶來的信用風險。  光聖第三季營收達新台幣16.41億元，創下單季新高，季增13.8%。這主要得益於美國資料 中心需求的增加及新終端產品的推出，導致光被動元件的出貨量激增。  光聖今日股價開高走低，以642元開出，隨後股價持續走低，最低一度來到437元，下跌將 近5%。    心得/評論：  1. 最近股市很熱，許多社會新鮮人紛紛開戶，拿錢投入股市    希望得到財富自由，但卻忘了惦惦自己斤兩。  2. https://imgur.com/JGRjvG0    年輕人終究是年輕人，太衝動了  -- "
 大立光Q3每股賺49.67元、毛利率重回5成　,-------------------------------發文提醒---------------------------------- 1.發文前請先詳閱[新聞]分類發文規範，未依規範發文將受處份。 2.連結過長請善用縮網址服務，連結不能點擊者板規1-2-2處份。 3.心得/評論請盡量充實，心得過短或濫竽充數將以板規 1-2-3、4-4 水桶處份。 4.發文請依照格式文章標明段落，不符合格式者依4-1刪文處分。 ------------------------ 按ctrl+y 可刪除以上內容。 ----------------------  原文標題：  大立光Q3每股賺49.67元、毛利率重回5成　林恩平：但Q4需求不好  原文連結：  https://finance.ettoday.net/news/2837264  發布時間：  2024-10-17 20:05  記者署名：  高兆麟  原文內容：  大立光（3008）今日舉行法說會，並公布第3季稅後純益66.29億元，季增47%，寫近八季 新高，EPS為49.67元，毛利率也達50.21%，季增1.72個百分點，不過對於後市展望，大立 光執行長林恩平坦言，11月會有明顯下滑，第四季需求也不好，跟第三季比會差比較多。  大立光今年第3季合併營收189.49億元，寫單季新高，季增73%，年增39%；累計今年前九 月合併營收412.48億元，年增33%。  針對後市展望，林恩平說，10月和9月出貨動能差不多，但11月動能會明顯下滑，第四季 需求目前看起來不好，跟第三季比差比較多，因為之前大立光是獨家提供，但現在競爭者 也加入了，加上訂單需求影響，因此客戶下修訂單幅度也大。  林恩平也表示，今年Q3、Q4稼動率差不多，主要是跟客戶談好明年新機的量，先在今年Q4 就做一些，讓產能盡量布滿。  另外林恩平也說，在毛利率部分，舊機良率會進步，新機仍在爬坡，第四季新機在還會有 良率提升的空間。  心得/評論： 很老實的告訴你啊  以前我的營收這樣好事因為獨家的關係  但現在沒辦法獨家了~所以11月會明顯下滑  -- 
台積電續揚 台股小漲攻14800點,（中央社記者江明晏台北10日電）美股9日漲跌互見，台股今天開高小漲，早盤指數漲逾50點，一度攻上14800點整數關卡，隨後漲勢收斂；台積電早盤上漲6元，至487元，大立光等權值股與金融股熄火。至9時20分左右，加權指數上漲14.14點，至14766.35點，漲幅約0.1%，代表中小型股票的櫃買指數早盤上漲約0.19%。觀察族群走勢，電子股漲0.51%、金融股熄火下跌約0.49%；權值股走勢方面，晶圓代工廠台積電早盤漲6元，至487元；聯發科上漲逾2%、鴻海小漲約0.1%，大立光下跌約0.45%。（編輯：楊蘭軒）1120110
台股早盤開高走高 電動車與遊戲強,[NOWnews今日新聞]美股昨（9）日漲跌互見，台北股市今（10）日開高走高，一度漲50多點，站上14800點，來到14805點，小漲0.2%左右。權值王台積電早盤一度漲6.5元，來到487元。其他電子股，如聯發科漲2%，緯創、英業達走高。今日盤面焦點為車用電子、電動車概念股、連鎖餐飲表現亮眼，另外電玩展即將登場，遊戲股也走強。美股道瓊指數9日下跌112.96點，或0.34%，收33517.65點；那斯達克指數上漲66.36點，或0.63%，收10635.65點；標普500指數下跌2.99點，或0.08%，收3892.09點；費城半導體指數上漲50.65點，或1.92%，收2686.75點。台北股市今日開高走高，早盤一度站上14800點小漲。晶圓代工龍頭、權值王台積電早盤一度6.5元，來到487元。同樣為晶圓代工的聯電來到盤上44.55元小漲，世界先進與力積電也同樣開高。其他電子股，如聯發科漲2%，來到688元。元太也強勢漲2%，另外，緯創、英業達走強。至於華碩弱勢跌1%以上，大立光、和碩、南亞科、友達、國巨也下挫。今日盤面焦點為車用電子，昇銳、宣特、文曄、宏泰、德微、貿聯、宏致、和大漲1到3%。電動車概念股也紅通通，公準漲6%，有量、尚化、高力、金居漲1到2%。電玩展即將登場，遊戲股表現不俗，泰偉漲4%，網龍、歐買尬漲2%，鈊象、大宇資、智冠漲1%。另外，連鎖餐飲表現亮眼，六角、漢來美食、八方雲集、亞洲藏壽司、路易莎咖啡漲1%左右。
台積電續揚金融熄火 指數挑戰14800點後壓回整理,（中央社記者江明晏台北10日電）美國費城半導體指數勁揚，台積電歷經9日大漲近5%創1個月新高後，今天盤中股價最高續漲6元至487元，帶動大盤指數攻上14800點關卡，不過中場金融、生技類股走勢疲軟，指數壓回平盤整理。美股4大指數今天漲跌互見，那斯達克指數上漲0.63%、費城半導體指數揚升1.92%，台股歷經9日大漲378.87點後，今天早盤以14796.27點開高，隨後指數於14800點關卡震盪。到10時40分左右，台股加權指數來到14747點，小跌5點，成交量約953億元；另外代表中小型股的櫃買指數也拉回翻黑。觀察類股表現，上市電子股漲0.15%，半導體股漲0.41%；金融股跌0.77%，生技股下跌1.37%。權值股走勢方面，市場關注12日將登場的台積電、大立光法人說明會，台積電在9日率先發動大漲後，今天走勢相對冷靜，盤中小漲近1%，在485元附近整理，大立光下跌約2%；聯發科上漲1.78%、鴻海漲約0.3%。ABF三雄走跌，欣興、南電、景碩跌幅約在1.18%至1.48%左右；貨櫃三雄長榮、萬海、陽明則維持平盤或小跌1%以內。（編輯：張良知）1120110
台股／【Hot台股】漲多後熄火「外資春節前割韭菜」？專家：封關前難站上萬5,今日台股社群最Hot話題「外資昨天下重本騙韭菜了 春節前肯定要收割一大波」、「今天外資感覺是賣」、「漲多後信心薄弱！」「散戶都放空才不會追 外資買外資很會洗小心好股抱緊」、「有黑手 有糖漿 撐到外資回頭求饒式買盤 怎麼輸」、「不是好多人喊崩嗎？」、「今天好像沒什麼量～」、「持股怎越走越低？」、「小兒結帳過年摟！」「昨天漲太多 追價力道不足 要封關了」、「又回到區間死魚了」、「外資小兒夜盤空了5000多口」、「我的腳...麻了」、「今天收黑的機率？」、「年前趴踢結束啦 畢竟在一個禮拜就封關 醒醒吧韭菜」、「好多股票都開始有賣壓」、「這波動也太小了吧 至少來個區間吧！」、「看到愛睏…這樣是正常的嗎？」針對網友熱議話題...專家這麼說！<BR>HOT台股今日值班專家－ 萬寶投顧執行長王榮旭外資操作沒明顯偏多現在市場在等待後天台積電、大立光法說會，如果法說會的內容沒有比市場預期還要好的話，有可能到下週二封關的行情都會是「量縮整理」為主。畢竟昨天的大漲已經有部分反應這週美國即將公布的CPI數據應該是持續下滑；同時台積電昨天漲多，也有部分反應法說會內容，可能沒有市場預期那麼差，但是如果也沒有特別好的訊息的話，股價也不容易上漲，因為外資的操作沒有明顯偏多。外資買進50反避險 台指期減碼5000口昨天外資雖然回補台股361億，因為亞洲貨幣大幅升值，外幣回頭亞洲股市，台幣是其中之一。但台幣升值的幅度其實是低於其他市場，再者，外資雖然買超現股361億，但買超第一名是做空大盤的ETF「台灣50反」，避險意味濃厚。另一方面，從上周五以來，過去2個交易日台股漲了近500點，但這兩天外資在台指期把淨多單部位減了5000多口。這看得出來，外資昨天買超美股，並不是要真正做多，更像是因為美股上漲、美元走跌而「被迫回補台股」，但並沒有想要持續買多台股，否則不會減碼期貨多單、並買進50反避險。封關前難站上萬5從外資昨天進出狀況來看，比較像短線的買進，沒有打算後面連續性大買。這樣情況下，預期指數在封關前沒有突破萬5或站上萬5的可能性，除非未來幾個交易日國際上出現新的利多，否則大盤到封關日都是量縮整理，維持區間震盪。至於區間範圍目前看起來大概是，萬4季線有撐，上萬5又是壓力點，呈現「下有撐上有壓」。過完農曆年後的走勢，就看美國Fed利率決策狀況，再看看是往哪邊走。不過，因為目前電子還面臨淡季，企業獲利率退期才要開始，因此第一季大幅上漲的可能性也不高。
台股收盤／台積電續攻「股價漲5元到486元」！指數漲50點站上14800關卡,記者戴玉翔／台北報導台股今（10）日開高震盪，在台積電領軍上攻之下，帶動大盤指數攻上14800點關卡，不過盤中金融、生技類股走勢疲軟，終場上漲50.75點，漲幅0.34%，收在14802.96點，今日大盤成交值1774億元。今日台積電終盤上漲5元，漲幅1.04%，收在486元。聯發科終盤上漲19元，漲幅2.81%，收在694元。鴻海終盤上漲0.3元，漲幅0.3%，收在99.4元。大立光終盤下跌45元，跌幅2.02%，收在2180元。聯電終盤上漲0.5元，漲幅1.12%，收在45元。ABF載板三雄漲跌互見，南電漲0.21%、欣興跌0.78%、景碩跌0.93%。造紙類股表現不俗，正隆漲1.61%、榮成1.46%、永豐餘漲0.6%。
